TYPE_OF_DAY,TIME_OF_DAY,PROCESS,SUSPICIOUS
NON_WORKING,early morning,syslogd,NON-ATTACK
NON_WORKING,early morning,syslogd,NON-ATTACK
WORKING,morning,syslogd,NON-ATTACK
WORKING,morning,syslog,NON-ATTACK
WORKING,morning,syslog,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,portmap,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,rpc,NON-ATTACK
WORKING,morning,nfslock,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,keytable,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
WORKING,morning,kernel,NON-ATTACK
