TYPE_OF_DAY,TIME_OF_DAY,PROCESS,USER_LEVEL,SUSPICIOUS
NON_WORKING,early morning,syslogd,no_euid,FALSE
NON_WORKING,early morning,syslogd,no_euid,FALSE
WORKING,morning,syslogd,no_euid,FALSE
WORKING,morning,syslog,no_euid,FALSE
WORKING,morning,syslog,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,portmap,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,rpc,no_euid,FALSE
WORKING,morning,nfslock,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,keytable,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,keytable,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,random,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,kernel,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,sysctl,no_euid,FALSE
WORKING,morning,sysctl,no_euid,FALSE
WORKING,morning,sysctl,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,date,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,netfs,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,apmd,no_euid,FALSE
WORKING,morning,apmd,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,apmd,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,fsck,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,init,no_euid,FALSE
WORKING,morning,kudzu,no_euid,FALSE
WORKING,morning,kudzu,no_euid,FALSE
WORKING,morning,sysctl,no_euid,FALSE
WORKING,morning,sysctl,no_euid,FALSE
WORKING,morning,sysctl,no_euid,FALSE
WORKING,morning,network,no_euid,FALSE
WORKING,morning,automount,no_euid,FALSE
WORKING,morning,network,no_euid,FALSE
WORKING,morning,autofs,no_euid,FALSE
WORKING,morning,network,no_euid,FALSE
WORKING,morning,atd,no_euid,FALSE
WORKING,morning,sshd,no_euid,FALSE
WORKING,morning,automount,no_euid,FALSE
WORKING,morning,sshd,no_euid,FALSE
WORKING,morning,rc,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,xinetd,no_euid,FALSE
WORKING,morning,sendmail,no_euid,FALSE
WORKING,morning,gpm,no_euid,FALSE
WORKING,morning,crond,no_euid,FALSE
WORKING,morning,xfs,no_euid,FALSE
WORKING,morning,xfs,no_euid,FALSE
WORKING,morning,anacron,no_euid,FALSE
WORKING,morning,httpd,no_euid,FALSE
WORKING,morning,squid,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,snmpd,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,ntpd,no_euid,FALSE
WORKING,morning,ntpd,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,smb,no_euid,FALSE
WORKING,morning,ntpd,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,ntpd,no_euid,FALSE
WORKING,morning,ucd,no_euid,FALSE
WORKING,morning,smb,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,ntpd,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,identd,no_euid,FALSE
WORKING,morning,named,no_euid,FALSE
WORKING,morning,rsyncd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,morning,telnetd,no_euid,FALSE
WORKING,afternoon,telnetd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,FALSE
WORKING,evening,ftpd,no_euid,TRUE
WORKING,night,telnetd,no_euid,FALSE
WORKING,night,telnetd,no_euid,FALSE
WORKING,night,telnetd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,TRUE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,night,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,TRUE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,TRUE
NON_WORKING,early morning,ftpd,no_euid,TRUE
NON_WORKING,early morning,ftpd,no_euid,TRUE
NON_WORKING,early morning,ftpd,no_euid,TRUE
NON_WORKING,early morning,ftpd,no_euid,TRUE
NON_WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,early morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,TRUE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,morning,ftpd,no_euid,FALSE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
NON_WORKING,afternoon,ftpd,no_euid,TRUE
